Domains,Links,Linked pages
uni-leipzig.de,"414,071","2,947"
zig-jobs.de,"1,334",21
uni-passau.de,165,15
github.com,162,2
uni-wuerzburg.de,69,18
pns-ulm.de,53,5
naukribaba.in,46,1
pns-partner.de,33,5
uni-giessen.de,30,5
123people.de,22,20
uni-ulm.de,21,6
tu-dresden.de,20,7
jobs.de,20,10
uni-jena.de,19,11
euni.de,17,1
tu-chemnitz.de,16,11
uni-potsdam.de,15,11
rheinahrcampus.de,13,1
uw.hu,11,1
poweredsites.org,11,1
facebook.com,10,4
jobkicks.de,10,9
tu-cottbus.de,10,5
uni-muenster.de,9,3
htwk-leipzig.de,9,6
c2n.de,8,7
tum.de,8,3
unister.de,8,8
hs-heilbronn.de,7,2
hs-augsburg.de,6,6
uni-bielefeld.de,6,3
consulteam.de,5,5
uni-hannover.de,5,2
htw-dresden.de,4,2
seca.ch,4,1
towerconsult.de,4,4
uni-muenchen.de,4,3
fh-dortmund.de,4,2
fh-gelsenkirchen.eu,4,1
sife-giessen.de,4,2
gruenderszene.de,4,2
audimax.de,4,4
twitter.com,4,1
tu-ilmenau.de,3,1
fortis-it.de,3,2
hs-harz.de,3,3
volleyball-verband.de,3,1
uni-mannheim.de,3,2
unibw.de,3,1
uni-due.de,3,1
fh-kiel.de,3,1
wkgt.com,3,1
ssc-vb.de,3,1
fh-koeln.de,2,2
sobretudo.org,2,2
htwk.net,2,2
hs-merseburg.de,2,1
ecg-leipzig.de,2,2
alange-soehne.com,2,2
hu-berlin.de,2,1
nahklick.de,2,2
towerbyte.de,2,2
e-commerce-genossenschaft.de,2,2
amnesty.de,2,2
topsy.com,2,2
marketing-centrum.de,2,1
greenjobs.de,2,2
yacht-teccon.de,2,1
hs-aalen.de,2,1
uni-magdeburg.de,2,1
lvz-online.de,1,1
th-wildau.de,1,1
communicate-mainz.de,1,1
uzh.ch,1,1
regiocast.de,1,1
communicationmanagement.de,1,1
yatedo.fr,1,1
tu-braunschweig.de,1,1
uniboard.de,1,1
uni-mainz.de,1,1
solutionproviders.com,1,1
solutionproviders.ch,1,1
tweetmart.com,1,1
fh-jena.de,1,1
gesundheitsforen.net,1,1
finest-jobs.com,1,1
eckart-kreitlow.de,1,1
fh-wedel.de,1,1
pipl.com,1,1
uni-erlangen.de,1,1
uni-regensburg.de,1,1
fu-berlin.de,1,1
hs-mannheim.de,1,1
studiengang-medienwirtschaft.org,1,1
brandigg.de,1,1
g-rain.org,1,1
sachsen.de,1,1
xing.com,1,1
uni-frankfurt.de,1,1
leipzig.de,1,1
afwn.de,1,1
vebidoo.de,1,1
kit.edu,1,1
stellenmeister.de,1,1
lbb.de,1,1
hs-emden-leer.de,1,1
dshs-koeln.de,1,1
ruder-bundesliga.de,1,1
